countyear,statefip,serialno,avgincomes,ginicoefficient,ginirank,incrank,knownincscount,knownincsavg,unknownincscount,unknownincsavg,blackpercent,whitepercent,otherpercent,blackcount,othercount,whitecount,totalcount,allareas,totalpop,populationdensity,violentcrime,propertycrime,Racial diversity,State Name
1982,19,118,11050,58.2,26,28,1925,10571,557,12709,1,97,1,44,30,2408,2482,56276,2888189,51,173,3963.8,32.33676958,Iowa
1982,20,119,11261,54.35,46,20,1444,10838,422,12709,6,92,1,113,28,1725,1866,82282,2401202,29,336,4616.1,30.73362256,Kansas
1982,21,120,10110,62.39,5,42,1703,9286,540,12709,7,92,0,169,1,2073,2243,40411,3683445,91,315,3253.4,30.75530668,Kentucky
1982,22,121,10564,63.45,4,39,1818,9779,666,12709,31,68,0,780,7,1697,2484,51843,4352608,83,669,4642.1,24.91095252,Louisiana
1982,23,122,9738,54.89,45,46,1524,8828,467,12709,0,99,0,7,10,1974,1991,35387,1136684,32,163,3696.7,33,Maine
1982,24,123,12525,60.21,11,5,2095,12480,524,12709,19,78,2,519,53,2047,2619,12407,4282923,345,850,5162.3,26.76855535,Maryland
1982,25,124,11578,55,44,14,2814,11271,767,12709,3,96,0,108,32,3441,3581,10555,5771222,546,571,4932.4,32.01562119,Massachusetts
1982,26,125,11315,59.47,18,19,3961,10877,1245,12709,11,87,1,606,69,4531,5206,96810,9115198,94,657,6128,29.23278221,Michigan
1982,27,126,11080,55.43,42,26,2103,10592,631,12709,0,97,1,23,33,2678,2734,86943,4131450,47,219,4235.4,32.3350515,Minnesota
1982,28,127,9515,63.91,3,49,1703,8456,565,12709,34,65,0,786,7,1475,2268,48434,2556777,52,295,3278,24.45176658,Mississippi
1982,29,128,10982,58.26,24,29,2239,10504,620,12709,9,90,0,261,11,2587,2859,69709,4929451,70,507,4441.3,30.14962686,Missouri
1982,30,129,11139,58.49,23,27,1578,10592,551,12709,0,91,8,0,179,1950,2129,147046,803986,5,225,4108.4,30.45032384,Montana
1982,31,130,10726,57.99,30,35,1644,10063,550,12709,2,96,0,58,13,2123,2194,77358,1581780,20,230,3721.2,32.00694369,Nebraska
1982,32,131,12315,52.73,49,7,1337,12182,453,12709,5,89,4,92,88,1610,1790,110567,881537,7,805,7095.6,29.74334659,Nevada
1982,33,132,11693,55.14,43,13,1162,11407,328,12709,0,99,0,6,3,1481,1490,9351,947719,101,125,3704.4,33,New Hampshire
1982,34,133,11727,58.11,28,12,3539,11463,953,12709,10,87,2,466,115,3911,4492,8722,7430968,851,607,5068.8,29.198554,New Jersey
