State,Average pre-tax personal income for known incomes(state and year level),Average pre-tax personal income for unknown incomes(year level),Year,Income rank by year,Number of reported incomes,Number of millionaires,Individuals in poverty,Percentage of poppulation who are millionaires,Poverty rate,Gini coefficient,white percentage,Black percentage,Number of people,Black people,Other percentage,Population,Violent crime rate,Property crime rates,Area,Population density
Pennsylvania,10653.41175,71485.31465,1983,33,6291,1254,2029,0.1993323796,0.322524241,0.5455601992,0.9031950405,0.08663169607,6291,545,0.01017326339,11895000,342.8,2852.6,44743,265.85
Rhode Island,10617.07435,71485.31465,1983,34,1498,301,438,0.2009345794,0.2923898531,0.5038293571,0.9759679573,0.01869158879,1498,28,0.005340453939,955000,355.2,4650.3,1034,923.60
South Carolina,8743.817915,71485.31465,1983,51,1837,475,596,0.2585737616,0.324442025,0.545446596,0.6663037561,0.324442025,1837,596,0.009254218835,3264000,616.8,4154.1,30061,108.58
South Dakota,9389.14755,71485.31465,1983,46,2405,609,733,0.2532224532,0.3047817048,0.5503210833,0.9355509356,0.003742203742,2405,9,0.06070686071,700000,120,2427.6,75811,9.23
Tennessee,9749.319956,71485.31465,1983,45,2370,551,847,0.2324894515,0.3573839662,0.572883481,0.8084388186,0.1801687764,2370,427,0.01139240506,4685000,402,3609.6,41235,113.62
Texas,11309.18092,71485.31465,1983,23,8965,2382,2705,0.2656999442,0.3017289459,0.5728164452,0.8880089236,0.09191299498,8965,824,0.02007808143,15724000,512.2,5395,261232,60.19
Utah,10637.20939,71485.31465,1983,32,2737,927,739,0.3386919985,0.2700036536,0.5574409347,0.9601753745,0.00219218122,2737,6,0.03763244428,1619000,256,4862,82170,19.70
Vermont,10050.06155,71485.31465,1983,41,1636,385,471,0.2353300733,0.2878973105,0.5119554103,0.989608802,0.002444987775,1636,4,0.007946210269,525000,132.6,4000.2,9217,56.96
Virginia,13049.36202,71485.31465,1983,5,2933,621,837,0.2117286055,0.2853733379,0.5501239339,0.7869076031,0.1974087965,2933,579,0.01568360041,5550000,292.5,3669,39490,140.54
Washington,12401.09484,71485.31465,1983,10,2356,574,627,0.2436332767,0.2661290323,0.5415367571,0.9299660441,0.03268251273,2356,77,0.03735144312,4300000,371.8,5706,66456,64.70
West Virginia,8880.638228,71485.31465,1983,49,1990,478,720,0.240201005,0.3618090452,0.583407128,0.972361809,0.02713567839,1990,54,0.0005025125628,1965000,171.8,2247.2,24038,81.75
Wisconsin,11770.9903,71485.31465,1983,17,2536,577,739,0.2275236593,0.2914037855,0.5366932572,0.9471608833,0.04298107256,2536,109,0.009858044164,4751000,190.9,4064.8,54158,87.72
Wyoming,12569.82982,71485.31465,1983,7,1559,372,407,0.2386144965,0.2610647851,0.5332014897,0.9743425273,0.006414368185,1559,10,0.01924310455,514000,237.2,3776.7,97093,5.29
