State,Average pre-tax personal income for known incomes(state and year level),Average pre-tax personal income for unknown incomes(year level),Year,Income rank by year,Number of reported incomes,Number of millionaires,Individuals in poverty,Percentage of poppulation who are millionaires,Poverty rate,Gini coefficient,white percentage,Black percentage,Number of people,Black people,Other percentage,Population,Violent crime rate,Property crime rates,Area,Population density
Massachusetts,10243.3666,62366.61642,1981,18,3706,820,1107,0.2212628171,0.298704803,0.5320403884,0.953588775,0.03237992445,3706,120,0.01403130059,5770000,628.6,5206.7,7800,739.74
Michigan,10151.62606,62366.61642,1981,20,5631,1395,1736,0.2477357485,0.308293376,0.546569739,0.8753329782,0.1099271888,5631,619,0.01473983307,9201000,641.9,6212.2,56539,162.74
Minnesota,9882.115349,62366.61642,1981,22,2772,622,807,0.2243867244,0.2911255411,0.5266919175,0.9671717172,0.01298701299,2772,36,0.01984126984,4090000,228.5,4508.2,79627,51.36
Mississippi,7371.368951,62366.61642,1981,51,2813,726,1048,0.2580874511,0.37255599,0.5797153858,0.6807678635,0.3135442588,2813,882,0.005687877711,2530000,304.6,3232.8,46923,53.92
Missouri,9173.750421,62366.61642,1981,35,3029,653,977,0.2155827006,0.3225486959,0.5421193292,0.8969957082,0.09475074282,3029,287,0.008253549026,4938000,540.2,4811.2,68742,71.83
"Montana
",9791.510917,62366.61642,1981,24,2439,607,703,0.2488724887,0.2882328823,0.5408257325,0.942599426,0.0008200082001,2439,2,0.05658056581,792000,253,4765.9,145546,5.44
Nebraska,9272.856206,62366.61642,1981,31,2593,611,801,0.2356344003,0.3089086001,0.5458117103,0.953721558,0.03933667567,2593,102,0.006941766294,1576000,181.5,3996,76824,20.51
Nevada,11039.21508,62366.61642,1981,3,2975,720,725,0.2420168067,0.243697479,0.5106653753,0.8857142857,0.07731092437,2975,230,0.03697478992,845000,896.4,7695.5,109781,7.70
New Hampshire,10431.8106,62366.61642,1981,12,1941,431,518,0.2220504894,0.266872746,0.5061435268,0.9922720247,0.002060793405,1941,4,0.005667181865,935000,147.1,4174.8,8953,104.43
New Jersey,10280.34517,62366.61642,1981,14,4647,1043,1414,0.2244458791,0.3042823327,0.545534191,0.8803529159,0.1030772541,4647,479,0.01656983,7401000,630.6,5549.2,7354,"1,006.39"
New Mexico,8358.162013,62366.61642,1981,45,3516,973,1187,0.2767349261,0.3375995449,0.5762625653,0.8953356086,0.0204778157,3516,72,0.08418657565,1327000,671.7,5528.9,121298,10.94
New York,9613.832549,62366.61642,1981,28,10445,2371,3392,0.2269985639,0.3247486836,0.5541739287,0.8437529919,0.1366203925,10445,1427,0.01962661561,17594000,1069.6,5835.8,47126,373.34
North Carolina,8933.142114,62366.61642,1981,39,3008,700,924,0.232712766,0.3071808511,0.5376731384,0.7636303191,0.2127659574,3008,640,0.0236037234,5951000,436.7,4083.5,48618,122.40
North Dakota,8991.707086,62366.61642,1981,34,2657,653,841,0.2457659014,0.3165223937,NULL,0.9465562665,0.00564546481,2657,15,0.04779826872,658000,67.5,2923.6,69001,9.54
Ohio,10244.64776,62366.61642,1981,17,6300,1488,1883,0.2361904762,0.2988888889,0.5358546929,0.8919047619,0.103015873,6300,649,0.005079365079,10776000,496.6,4950.8,40861,263.72
Oklahoma,9726.736104,62366.61642,1981,26,2657,588,817,0.2213022205,0.30748965,0.5495704957,0.8611215657,0.06285284155,2657,167,0.07602559277,3098000,426.8,4410.5,68595,45.16
Oregon,10265.01988,62366.61642,1981,13,2776,663,793,0.238832853,0.2856628242,0.5271457087,0.9668587896,0.01080691643,2776,30,0.02233429395,2647000,478.7,6558.2,95988,27.58
Pennsylvania,9564.35083,62366.61642,1981,29,6575,1393,2070,0.2118631179,0.3148288973,0.5321926417,0.903269962,0.09003802281,6575,592,0.006692015209,11864000,371.7,3311.5,44743,265.16
Rhode Island,9175.936567,62366.61642,1981,36,2019,411,601,0.2035661218,0.2976721149,0.4836406432,0.9623576028,0.02625061912,2019,53,0.01139177811,952000,441.7,5410.1,1034,920.70
South Carolina,7986.289359,62366.61642,1981,48,2146,539,697,0.2511649581,0.3247903075,0.5442216705,0.6756756757,0.3084808947,2146,662,0.01584342964,3166000,640.4,4678.7,30061,105.32
South Dakota,8333.408519,62366.61642,1981,43,2756,690,886,0.2503628447,0.3214804064,0.5547090099,0.9096516691,0.001814223512,2756,5,0.0885341074,685000,104.8,2908.3,75811,9.04
Tennessee,8480.713326,62366.61642,1981,44,2311,525,791,0.2271743834,0.342276071,0.549072983,0.8251839031,0.1678926871,2311,388,0.006923409779,4610000,412.6,3898.9,41235,111.80
Texas,9312.448316,62366.61642,1981,32,9330,2529,2848,0.2710610932,0.3052518757,0.5561703878,0.8879957128,0.1009646302,9330,942,0.01103965702,14755000,532.4,5517.9,261232,56.48
Utah,9892.561983,62366.61642,1981,25,3608,1188,1004,0.3292682927,0.27827051,0.5537899876,0.9634146341,0.00110864745,3608,4,0.0354767184,1516000,298.6,5451.4,82170,18.45
Vermont,9106.715033,62366.61642,1981,37,2019,489,579,0.2421991085,0.2867756315,0.5062801369,0.9940564636,0.0004952947003,2019,1,0.005448241704,515000,128,4932.8,9217,55.88
Virginia,10476.06456,62366.61642,1981,11,2927,650,867,0.2220703792,0.2962077212,0.5386420533,0.7816877349,0.2012299283,2927,589,0.01708233686,5426000,321.7,4349.1,39490,137.40
Washington,10595.2723,62366.61642,1981,9,2750,642,813,0.2334545455,0.2956363636,0.5408275202,0.9141818182,0.02363636364,2750,65,0.06218181818,4212000,447.3,6294.8,66456,63.38
West Virginia,7910.243756,62366.61642,1981,49,2649,647,944,0.2442431106,0.3563608909,0.5682218632,0.9724424311,0.02491506229,2649,66,0.002642506606,1951000,174.8,2443.9,24038,81.16
Wisconsin,10265.711,62366.61642,1981,15,2585,630,701,0.2437137331,0.2711798839,0.5101909431,0.9562862669,0.03752417795,2585,97,0.006189555126,4739000,187.9,4579,54158,87.50
Wyoming,10955.23133,62366.61642,1981,2,2173,526,567,0.2420616659,0.2609295904,0.5290878651,0.9723884031,0.006442705936,2173,14,0.02116889093,492000,430.1,4701.8,97093,5.07
Alabama,8724.402713,63227.59936,1982,48,2541,624,924,0.2455726092,0.3636363636,0.585430019,0.7701692247,0.225501771,2541,573,0.004329004329,3943000,447.7,4185.8,50645,77.86
Alaska,15179.23836,63227.59936,1982,1,2222,611,505,0.2749774977,0.2272727273,0.5374004231,0.801980198,0.0301530153,2222,67,0.1678667867,438000,623.7,5588.8,570641,0.77
Arizona,10439.13976,63227.59936,1982,30,2372,576,705,0.2428330523,0.2972175379,0.5511525895,0.9494097808,0.01770657673,2372,42,0.0328836425,2860000,517,6614,113594,25.18
Arkansas,8107.954402,63227.59936,1982,51,2052,473,728,0.2305068226,0.3547758285,0.5656396299,0.8494152047,0.1384015595,2052,284,0.01218323587,2291000,324.7,3546.9,52035,44.03
California,11705.71651,63227.59936,1982,9,15602,3806,4121,0.2439430842,0.2641328035,0.5394745731,0.8642481733,0.07043968722,15602,1099,0.06531213947,24724000,814.7,6470.7,155779,158.71
Colorado,12276.24049,63227.59936,1982,6,2870,741,767,0.2581881533,0.2672473868,0.5412858825,0.9599303136,0.02578397213,2870,74,0.01428571429,3045000,504.2,6575.7,103642,29.38
Connecticut,12803.65015,63227.59936,1982,3,1690,358,400,0.2118343195,0.2366863905,0.5056764301,0.9360946746,0.06035502959,1690,102,0.003550295858,3153000,399.5,5028,4842,651.18
Delaware,11242.04518,63227.59936,1982,15,1476,325,439,0.2201897019,0.2974254743,0.5445820394,0.8177506775,0.1754742547,1476,259,0.006775067751,602000,559.8,5825.1,1949,308.88
District of Columbia,12546.37054,63227.59936,1982,4,1355,235,414,0.1734317343,0.3055350554,0.5618347715,0.2870848708,0.695202952,1355,942,0.01771217712,631000,2123.1,8287.6,61,"10,344.26"
Florida,10024.93759,63227.59936,1982,36,5461,1087,1707,0.1990477934,0.3125801135,0.546104907,0.8357443692,0.1552829152,5461,848,0.00897271562,10416000,896.8,6568.4,53625,194.24
Georgia,10421.47913,63227.59936,1982,31,2863,659,865,0.2301781348,0.3021306322,0.5444846335,0.782396088,0.2106182326,2863,603,0.006985679357,5639000,478.2,4736.6,57513,98.05
Hawaii,11103.16353,63227.59936,1982,16,1771,444,462,0.2507058159,0.2608695652,0.5133991988,0.3111236589,0.01355166573,1771,24,0.6753246753,994000,255.7,6328.6,6423,154.76
Idaho,9856.222222,63227.59936,1982,37,1867,553,516,0.2961971077,0.276379218,0.5407887151,0.9785752544,0.001071237279,1867,2,0.0203535083,965000,259.2,3824,82643,11.68
Illinois,11809.78077,63227.59936,1982,8,6109,1438,1709,0.2353904076,0.2797511868,0.5399352836,0.8433458831,0.1355377312,6109,828,0.02111638566,11448000,774.3,5066,55519,206.20
Indiana,9806.028092,63227.59936,1982,38,3153,768,984,0.2435775452,0.3120837298,0.5488262243,0.9292737076,0.06850618459,3153,216,0.002220107834,5471000,300.6,4128.9,35826,152.71
Iowa,10570.9361,63227.59936,1982,28,2482,557,726,0.2244157937,0.2925060435,0.5505726423,0.9701853344,0.017727639,2482,44,0.01208702659,2905000,172.7,3963.8,55857,52.01
