countyear,statefip,serialno,avgincomes,ginicoefficient,ginirank,incrank,knownincscount,knownincsavg,unknownincscount,unknownincsavg,blackpercent,whitepercent,otherpercent,blackcount,othercount,whitecount,totalcount,allareas,totalpop,populationdensity,violentcrime,propertycrime
1981,30,78,10318,56.87,37,25,1832,9792,607,11909,0,94,5,2,138,2299,2439,147046,795328,5,253,253
1981,31,79,9894,57.46,34,32,1982,9273,611,11909,3,95,0,102,18,2473,2593,77358,1578515,20,182,182
1981,32,80,11249,53.32,48,3,2255,11039,720,11909,7,88,3,230,110,2635,2975,110567,847655,7,896,896
1981,33,81,10759,53.19,49,13,1510,10432,431,11909,0,99,0,4,11,1926,1941,9351,936621,100,147,147
1981,34,82,10645,58.96,19,14,3604,10280,1043,11909,10,88,1,479,77,4091,4647,8722,7407472,849,631,631
1981,35,83,9340,64.06,1,44,2543,8358,973,11909,2,89,8,72,296,3148,3516,121593,1332748,10,672,672
1981,36,84,10134,60.77,6,28,8074,9614,2371,11909,13,84,1,1427,205,8813,10445,54475,17567734,322,1070,1070
1981,37,85,9625,57.54,32,39,2308,8933,700,11909,21,76,2,640,71,2297,3008,53821,5956653,110,437,437
1981,38,86,9708,60.42,8,37,2004,8992,653,11909,0,94,4,15,127,2515,2657,70704,659505,9,68,68
1981,39,87,10638,58.01,26,18,4812,10245,1488,11909,10,89,0,649,32,5619,6300,44828,10788330,240,497,497
1981,40,88,10209,58.51,22,26,2069,9727,588,11909,6,86,7,167,202,2288,2657,69903,3096164,44,427,427
1981,41,89,10657,55.73,42,16,2113,10265,663,11909,1,96,2,30,62,2684,2776,98386,2667982,27,479,479
1981,42,90,10060,57.65,30,29,5182,9564,1393,11909,9,90,0,592,44,5939,6575,46058,11858567,257,372,372
1981,44,91,9732,50.84,51,34,1608,9176,411,11909,2,96,1,53,23,1943,2019,1545,953013,616,442,442
1981,45,92,8971,58.97,18,48,1607,7986,539,11909,30,67,1,662,34,1450,2146,32007,3179255,99,640,640
1981,46,93,9228,59.25,15,45,2066,8333,690,11909,0,90,8,5,244,2507,2756,77121,689584,8,105,105
1981,47,94,9259,59.58,11,43,1786,8481,525,11909,16,82,0,388,16,1907,2311,42146,4627658,109,413,413
1981,48,95,10015,60.33,9,31,6801,9312,2529,11909,10,88,1,942,103,8285,9330,268601,14746318,54,532,532
1981,49,96,10556,59.55,12,23,2420,9893,1188,11909,0,96,3,4,128,3476,3608,84904,1515471,17,299,299
1981,50,97,9785,52.72,50,36,1530,9107,489,11909,0,99,0,1,11,2007,2019,9615,515594,53,128,128
1981,51,98,10794,57.50,33,12,2277,10476,650,11909,20,78,1,589,50,2288,2927,42769,5444097,127,322,322
1981,53,99,10901,58.88,20,10,2108,10595,642,11909,2,91,6,65,171,2514,2750,71303,4235731,59,447,447
